EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
300001.65625,313362.875,515283.8125,507108.0,315381.6875,293986.0625,279216.75,282297.0,-0.120361328125,0.9443359375,-0.238037109375,0.1525878757238388,-0.9765624403953552,-0.7019042372703552,53.33333587646485,60481.0,1.0,Right
300273.25,313804.90625,515756.5,507624.78125,315805.75,294170.6875,279411.46875,282681.90625,-0.11962890625,0.94287109375,-0.2373046875,0.2746581733226776,-0.9155272841453552,-0.7629393935203552,53.33333587646485,60482.0,1.0,Right
300338.4375,314121.0625,516022.9375,507796.4375,316204.15625,294302.40625,279532.0,282970.875,-0.120849609375,0.943359375,-0.23583984375,0.2136230319738388,-1.0375975370407104,-0.7019042372703552,53.33333587646485,60483.0,1.0,Right
300146.3125,313935.1875,515768.84375,507446.65625,316078.28125,294221.46875,279432.65625,282804.21875,-0.1220703125,0.942138671875,-0.2373046875,0.3051757514476776,-1.0681151151657104,-0.7629393935203552,53.33333587646485,60484.0,1.0,Right
299932.71875,313475.1875,515305.90625,507013.40625,315573.375,294031.3125,279238.75,282388.8125,-0.12353515625,0.943115234375,-0.236572265625,0.3051757514476776,-1.0375975370407104,-0.6713866591453552,53.33333587646485,60485.0,1.0,Right
300008.53125,313381.40625,515283.90625,507121.78125,315383.5625,293996.875,279219.96875,282298.875,-0.125732421875,0.944091796875,-0.235595703125,0.3356933295726776,-1.0681151151657104,-0.7629393935203552,53.33333587646485,60486.0,1.0,Right
300270.125,313808.75,515747.65625,507634.78125,315801.03125,294173.8125,279406.5625,282674.125,-0.125732421875,0.944091796875,-0.2353515625,0.2746581733226776,-1.1901854276657104,-0.7629393935203552,53.33333587646485,60487.0,1.0,Right
300340.3125,314128.75,516018.03125,507814.03125,316201.28125,294307.3125,279528.15625,282965.59375,-0.124755859375,0.9453125,-0.235595703125,0.4272460639476776,-1.1901854276657104,-0.8544921278953552,53.33333587646485,60488.0,1.0,Right
300147.8125,313939.46875,515765.0,507467.59375,316073.09375,294225.0625,279428.375,282795.34375,-0.12548828125,0.946044921875,-0.237060546875,0.3051757514476776,-1.3427733182907104,-0.8544921278953552,53.33333587646485,60489.0,1.0,Right
299922.78125,313470.96875,515293.84375,507021.28125,315563.09375,294030.59375,279230.96875,282371.75,-0.12548828125,0.945556640625,-0.234130859375,0.3662109076976776,-1.3122557401657104,-0.8239745497703552,53.33333587646485,60490.0,1.0,Right
