EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
300040.90625,312496.0,485505.65625,475738.21875,313408.75,293317.9375,279256.28125,282267.5,-0.095947265625,0.974853515625,-0.111572265625,0.1220703050494194,-0.8239745497703552,0.4882812201976776,53.33333587646485,99457.0,1.0,Rest
300091.0625,312784.59375,485745.71875,475874.28125,313789.375,293440.0625,279366.78125,282541.09375,-0.0947265625,0.9716796875,-0.1162109375,0.0610351525247097,-0.8239745497703552,0.4577636420726776,53.33333587646485,99458.0,1.0,Rest
299920.09375,312579.3125,485500.03125,475544.03125,313653.90625,293355.84375,279267.96875,282365.125,-0.09326171875,0.9716796875,-0.1162109375,0.0915527269244194,-0.9155272841453552,0.5187987685203552,53.33333587646485,99459.0,1.0,Rest
299723.6875,312119.59375,485057.28125,475140.34375,313152.0625,293161.75,279075.03125,281945.71875,-0.0908203125,0.96923828125,-0.116455078125,0.1831054538488388,-0.9460448622703552,0.5187987685203552,53.33333587646485,99460.0,1.0,Rest
299802.8125,312047.1875,485053.8125,475257.65625,312981.9375,293135.09375,279063.5,281871.78125,-0.089111328125,0.9677734375,-0.12158203125,0.3356933295726776,-0.8239745497703552,0.5187987685203552,53.33333587646485,99461.0,1.0,Rest
300029.96875,312471.84375,485496.09375,475723.5625,313398.21875,293310.4375,279244.28125,282251.21875,-0.088134765625,0.970947265625,-0.12109375,0.5798339247703552,-0.7324218153953552,0.4272460639476776,53.33333587646485,99462.0,1.0,Rest
300081.46875,312771.1875,485736.875,475862.03125,313781.59375,293436.5,279354.4375,282532.59375,-0.089599609375,0.975830078125,-0.11767578125,0.6408690810203552,-0.7324218153953552,0.3967284858226776,53.33333587646485,99463.0,1.0,Rest
299919.375,312586.46875,485500.9375,475538.84375,313656.9375,293361.5625,279269.0625,282373.0,-0.087890625,0.98046875,-0.1162109375,0.6408690810203552,-0.6103515028953552,0.5493163466453552,53.33333587646485,99464.0,1.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99465.0,1.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99466.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99467.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99468.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99469.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99470.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99471.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99472.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99473.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99474.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99475.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99476.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99477.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99478.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99479.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99480.0,0.0,Rest
299738.78125,312134.96875,485068.625,475148.75,313162.09375,293174.25,279090.59375,281966.03125,-0.086669921875,0.976318359375,-0.11572265625,0.3662109076976776,-0.6408690810203552,0.4882812201976776,53.33333587646485,99481.0,0.0,Rest
