EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
299919.21875,313473.03125,514034.09375,505705.03125,315554.96875,294055.625,279219.0,282380.15625,-0.119384765625,0.94482421875,-0.233642578125,-0.4272460639476776,-0.0305175762623548,0.4577636420726776,53.33333587646485,61825.0,1.0,Rest
299907.9375,313239.6875,513862.6875,505647.34375,315227.375,293961.03125,279136.09375,282167.8125,-0.1201171875,0.944091796875,-0.234619140625,-0.4577636420726776,-0.0305175762623548,0.3967284858226776,53.33333587646485,61826.0,1.0,Rest
300165.25,313597.3125,514271.375,506133.46875,315551.40625,294112.65625,279299.28125,282480.8125,-0.120361328125,0.943115234375,-0.2333984375,-0.3356933295726776,0.0,0.5187987685203552,53.33333587646485,61827.0,1.0,Rest
300288.90625,313986.59375,514626.9375,506421.875,316012.1875,294273.5,279452.34375,282835.6875,-0.12158203125,0.943603515625,-0.232177734375,-0.3051757514476776,-0.0610351525247097,0.4272460639476776,53.33333587646485,61828.0,1.0,Rest
300141.21875,313911.5,514484.0625,506164.75,316016.5,294240.4375,279402.8125,282774.53125,-0.119873046875,0.944580078125,-0.235595703125,-0.2136230319738388,-0.0915527269244194,0.5187987685203552,53.33333587646485,61829.0,1.0,Rest
299901.6875,313460.6875,514013.25,505686.875,315550.40625,294053.65625,279211.84375,282370.84375,-0.12158203125,0.9462890625,-0.235107421875,-0.2441406100988388,-0.0915527269244194,0.4882812201976776,53.33333587646485,61830.0,1.0,Rest
299902.75,313237.625,513849.09375,505639.03125,315230.6875,293965.59375,279136.375,282166.03125,-0.12255859375,0.947265625,-0.234375,-0.3662109076976776,-0.1220703050494194,0.4882812201976776,53.33333587646485,61831.0,1.0,Rest
300161.9375,313594.0,514261.53125,506125.25,315550.59375,294115.1875,279298.65625,282478.3125,-0.121337890625,0.947509765625,-0.23291015625,-0.3967284858226776,-0.2136230319738388,0.5187987685203552,53.33333587646485,61832.0,1.0,Rest
300294.4375,313998.5625,514625.0625,506418.84375,316017.75,294282.0,279457.4375,282838.8125,-0.1201171875,0.943603515625,-0.2314453125,-0.3967284858226776,-0.2746581733226776,0.5798339247703552,53.33333587646485,61833.0,1.0,Rest
300159.71875,313939.75,514494.8125,506178.0625,316034.8125,294259.03125,279417.28125,282787.03125,-0.12060546875,0.941650390625,-0.233154296875,-0.4272460639476776,-0.2136230319738388,0.5493163466453552,53.33333587646485,61834.0,1.0,Rest
299908.21875,313475.53125,514015.40625,505689.46875,315554.25,294056.0625,279210.75,282371.9375,-0.11962890625,0.94287109375,-0.233642578125,-0.3662109076976776,-0.3051757514476776,0.6408690810203552,53.33333587646485,61835.0,1.0,Rest
299895.6875,313235.9375,513839.8125,505629.375,315222.71875,293952.53125,279123.0625,282155.5625,-0.119140625,0.943115234375,-0.234130859375,-0.2746581733226776,-0.3662109076976776,0.5798339247703552,53.33333587646485,61836.0,1.0,Rest
