EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
300280.3125,313017.875,489200.6875,479620.71875,313959.6875,293675.375,279498.90625,282676.96875,-0.1015625,0.965576171875,-0.140625,0.0305175762623548,-0.6408690810203552,0.3051757514476776,53.33333587646485,94081.0,1.0,Up
300209.25,313091.71875,489206.03125,479510.84375,314117.21875,293703.46875,279511.34375,282746.375,-0.1005859375,0.965576171875,-0.141845703125,0.0305175762623548,-0.4882812201976776,0.1831054538488388,53.33333587646485,94082.0,1.0,Up
299992.6875,312716.03125,488801.90625,479075.0625,313755.03125,293548.96875,279348.53125,282406.71875,-0.10009765625,0.966796875,-0.143798828125,0.0305175762623548,-0.3967284858226776,0.2746581733226776,53.33333587646485,94083.0,1.0,Up
299913.40625,312369.75,488505.34375,478875.78125,313328.90625,293411.09375,279220.15625,282091.0,-0.099365234375,0.967041015625,-0.14208984375,0.0915527269244194,-0.3662109076976776,0.2136230319738388,53.33333587646485,94084.0,1.0,Up
299913.40625,312369.75,488505.34375,478875.78125,313328.90625,293411.09375,279220.15625,282091.0,-0.099365234375,0.967041015625,-0.14208984375,0.0915527269244194,-0.3662109076976776,0.2136230319738388,53.33333587646485,94085.0,0.0,Up
299913.40625,312369.75,488505.34375,478875.78125,313328.90625,293411.09375,279220.15625,282091.0,-0.099365234375,0.967041015625,-0.14208984375,0.0915527269244194,-0.3662109076976776,0.2136230319738388,53.33333587646485,94086.0,0.0,Up
299913.40625,312369.75,488505.34375,478875.78125,313328.90625,293411.09375,279220.15625,282091.0,-0.099365234375,0.967041015625,-0.14208984375,0.0915527269244194,-0.3662109076976776,0.2136230319738388,53.33333587646485,94087.0,0.0,Up
299913.40625,312369.75,488505.34375,478875.78125,313328.90625,293411.09375,279220.15625,282091.0,-0.099365234375,0.967041015625,-0.14208984375,0.0915527269244194,-0.3662109076976776,0.2136230319738388,53.33333587646485,94088.0,0.0,Up
299913.40625,312369.75,488505.34375,478875.78125,313328.90625,293411.09375,279220.15625,282091.0,-0.099365234375,0.967041015625,-0.14208984375,0.0915527269244194,-0.3662109076976776,0.2136230319738388,53.33333587646485,94089.0,0.0,Up
300089.15625,312556.34375,488750.78125,479232.15625,313456.9375,293477.4375,279299.46875,282248.375,-0.1064453125,0.9677734375,-0.14306640625,-0.0915527269244194,-0.1525878757238388,0.0915527269244194,53.33333587646485,94090.0,1.0,Up
300268.53125,313010.96875,489182.0,479613.84375,313958.53125,293668.3125,279488.28125,282659.09375,-0.108642578125,0.968505859375,-0.14501953125,-0.0915527269244194,-0.2136230319738388,0.1525878757238388,53.33333587646485,94091.0,1.0,Up
300212.46875,313099.9375,489200.6875,479516.46875,314130.8125,293710.6875,279517.25,282742.59375,-0.106201171875,0.966796875,-0.14306640625,-0.0610351525247097,-0.0915527269244194,0.0915527269244194,53.33333587646485,94092.0,1.0,Up
299992.96875,312722.65625,488793.6875,479076.75,313764.6875,293552.1875,279351.75,282398.5625,-0.10546875,0.96533203125,-0.14306640625,-0.1220703050494194,-0.0610351525247097,0.0915527269244194,53.33333587646485,94093.0,1.0,Up
299893.46875,312356.34375,488475.5,478861.375,313311.46875,293390.875,279202.34375,282061.0625,-0.10546875,0.965087890625,-0.1435546875,-0.1831054538488388,-0.0915527269244194,0.1831054538488388,53.33333587646485,94094.0,1.0,Up
300095.78125,312577.90625,488754.875,479238.9375,313465.25,293483.875,279306.78125,282248.375,-0.10595703125,0.9638671875,-0.1474609375,-0.0610351525247097,-0.1831054538488388,0.2136230319738388,53.33333587646485,94095.0,1.0,Up
300272.8125,313029.59375,489183.5,479616.0625,313960.9375,293670.1875,279487.125,282655.0,-0.10595703125,0.96533203125,-0.14453125,0.0,-0.3356933295726776,0.2441406100988388,53.33333587646485,94096.0,1.0,Up
300208.25,313102.09375,489191.90625,479509.40625,314124.0,293703.28125,279504.46875,282731.0625,-0.107177734375,0.967529296875,-0.144775390625,0.0915527269244194,-0.3356933295726776,0.1831054538488388,53.33333587646485,94097.0,1.0,Up
299997.0,312724.875,488789.5,479074.625,313759.59375,293545.46875,279344.59375,282391.9375,-0.10546875,0.9677734375,-0.146240234375,0.0610351525247097,-0.2746581733226776,0.2136230319738388,53.33333587646485,94098.0,1.0,Up
299901.78125,312360.5625,488477.1875,478862.375,313313.71875,293388.65625,279203.34375,282062.84375,-0.10595703125,0.96875,-0.14306640625,0.1220703050494194,-0.3356933295726776,0.2746581733226776,53.33333587646485,94099.0,1.0,Up
300099.8125,312580.5,488754.96875,479234.03125,313470.0,293481.46875,279310.8125,282252.375,-0.105224609375,0.965576171875,-0.14453125,0.2441406100988388,-0.4882812201976776,0.3662109076976776,53.33333587646485,94100.0,1.0,Up
300272.8125,313024.03125,489179.5625,479611.25,313964.0625,293664.28125,279489.53125,282653.65625,-0.10546875,0.965576171875,-0.14208984375,0.1525878757238388,-0.5493163466453552,0.3051757514476776,53.33333587646485,94101.0,1.0,Up
300207.90625,313097.96875,489189.5,479506.1875,314128.40625,293697.375,279507.40625,282730.71875,-0.105712890625,0.965087890625,-0.144775390625,0.2136230319738388,-0.5493163466453552,0.3356933295726776,53.33333587646485,94102.0,1.0,Up
