EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
300141.84375,314744.40625,568056.5625,561246.0,317588.4375,294962.21875,279339.40625,283170.96875,-0.1318359375,0.94580078125,-0.226806640625,0.0305175762623548,-0.6103515028953552,0.1525878757238388,60.0,25537.0,1.0,Up
300051.53125,314802.6875,568038.4375,561113.1875,317733.71875,294983.9375,279343.53125,283227.0,-0.13232421875,0.945556640625,-0.226318359375,0.0610351525247097,-0.7019042372703552,0.1525878757238388,60.0,25538.0,1.0,Up
299768.28125,314365.9375,567563.8125,560576.0625,317313.0625,294797.96875,279147.03125,282844.0,-0.1328125,0.9462890625,-0.22705078125,0.0915527269244194,-0.6408690810203552,0.2136230319738388,60.0,25539.0,1.0,Up
299670.65625,313993.21875,567246.25,560339.3125,316859.96875,294647.5,279004.78125,282518.1875,-0.1318359375,0.946533203125,-0.228271484375,0.0915527269244194,-0.5187987685203552,0.0610351525247097,60.0,25540.0,1.0,Up
299928.3125,314241.84375,567577.25,560782.875,317052.53125,294759.25,279128.96875,282737.0625,-0.13232421875,0.945068359375,-0.228759765625,0.0915527269244194,-0.4577636420726776,0.0,60.0,25541.0,1.0,Up
300145.3125,314716.875,568043.6875,561234.0625,317587.625,294965.15625,279330.3125,283167.375,-0.130615234375,0.94287109375,-0.228515625,0.2746581733226776,-0.3967284858226776,-0.1220703050494194,60.0,25542.0,1.0,Up
300042.15625,314754.0625,568016.3125,561094.875,317723.0,294979.5625,279327.78125,283216.375,-0.13232421875,0.9423828125,-0.228271484375,0.2136230319738388,-0.3051757514476776,-0.0915527269244194,60.0,25543.0,1.0,Up
299762.75,314317.65625,567541.6875,560562.0,317300.71875,294792.15625,279131.5625,282832.28125,-0.133544921875,0.9443359375,-0.2275390625,0.2746581733226776,-0.2746581733226776,-0.1525878757238388,60.0,25544.0,1.0,Up
299678.71875,313970.59375,567238.1875,560338.5625,316861.75,294654.125,279002.53125,282519.28125,-0.131591796875,0.945556640625,-0.2275390625,0.3356933295726776,-0.3356933295726776,-0.0610351525247097,60.0,25545.0,1.0,Up
299931.28125,314227.1875,567569.3125,560784.3125,317055.5625,294765.15625,279132.53125,282741.1875,-0.130126953125,0.945556640625,-0.22607421875,0.2441406100988388,-0.2441406100988388,-0.1220703050494194,60.0,25546.0,1.0,Up
300140.65625,314700.96875,568032.9375,561230.25,317583.53125,294965.71875,279331.65625,283168.0,-0.131591796875,0.947021484375,-0.2275390625,0.1525878757238388,-0.1831054538488388,-0.1831054538488388,60.0,25547.0,1.0,Up
300037.40625,314746.90625,568005.25,561090.75,317719.15625,294978.9375,279330.9375,283217.90625,-0.13232421875,0.9482421875,-0.228759765625,0.2441406100988388,-0.2136230319738388,-0.0915527269244194,60.0,25548.0,1.0,Up
299762.9375,314324.46875,567539.625,560563.1875,317311.5625,294802.625,279148.4375,282847.125,-0.132568359375,0.947021484375,-0.228759765625,0.1831054538488388,-0.1831054538488388,-0.0305175762623548,60.0,25549.0,1.0,Up
299669.3125,313962.71875,567226.4375,560328.75,316870.59375,294660.1875,279020.5,282532.5,-0.1328125,0.947021484375,-0.22802734375,0.2441406100988388,-0.2441406100988388,-0.0305175762623548,60.0,25550.0,1.0,Up
