Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1694546538,1694546538,50,0,4320.769043,4353.077148,4358.846191,4374.871582,4374.871582,4368.974121,4372.436035,4369.358887,4381.794922,4300.256348,4488.077148,4478.205078,4508.077148,4327.94873,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,1.0,58.333332,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,,,,,,,,,,,,
1694546538,1694546538,51,0,4329.871582,4358.205078,4362.820313,4383.461426,4375.897461,4367.692383,4373.461426,4369.102539,4377.179688,4311.410156,4500.512695,4484.743652,4510.512695,4337.94873,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,52,0,4328.589844,4357.820313,4367.563965,4381.410156,4367.563965,4364.102539,4370.256348,4366.538574,4372.307617,4304.102539,4507.563965,4490.769043,4507.692383,4336.282227,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,13.0,0.0,0.49705,-0.687134,-0.162781,-0.504272,0.872177,-0.467342,-0.062508,-10.164493,-54.308033,5.223529
1694546538,1694546538,53,0,4329.230957,4357.692383,4371.538574,4372.94873,4357.94873,4362.563965,4369.871582,4367.692383,4372.692383,4290.769043,4503.974121,4495.128418,4506.025879,4340.0,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,54,0,4340.641113,4368.717773,4378.589844,4383.974121,4376.025879,4362.307617,4374.487305,4366.025879,4372.05127,4296.922852,4511.025879,4499.871582,4508.077148,4352.94873,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,55,0,4352.05127,4377.05127,4386.153809,4399.743652,4392.179688,4361.153809,4376.153809,4366.794922,4372.179688,4315.256348,4529.230957,4514.615234,4522.179688,4366.025879,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,56,0,4350.384766,4369.358887,4382.436035,4390.641113,4377.692383,4355.384766,4367.05127,4365.128418,4371.666504,4308.974121,4520.384766,4510.641113,4515.897461,4358.461426,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,14.0,0.0,0.67864,-0.498535,-0.500244,-0.20166,0.855085,-0.468319,-0.053717,-10.098043,-54.210564,5.117843
1694546538,1694546538,57,0,4340.128418,4357.820313,4372.179688,4375.128418,4366.666504,4350.128418,4358.205078,4360.0,4373.077148,4300.384766,4502.692383,4494.102539,4493.717773,4342.179688,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,58,0,4334.487305,4352.436035,4365.769043,4371.666504,4373.846191,4352.692383,4359.230957,4358.846191,4375.384766,4310.512695,4506.538574,4488.589844,4488.974121,4338.846191,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694546538,1694546538,59,0,4335.128418,4347.692383,4364.871582,4366.538574,4371.794922,4357.820313,4364.230957,4359.743652,4373.589844,4303.333496,4508.717773,4485.512695,4484.743652,4340.384766,0,2,49,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
