EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
300317.34375,314148.96875,523019.9375,515270.125,316093.1875,294454.125,279481.40625,282942.78125,-0.128662109375,0.9482421875,-0.234130859375,0.7629393935203552,-0.4882812201976776,-0.8239745497703552,53.33333587646485,53761.0,1.0,Rest
300273.0,314286.46875,523092.1875,515230.0,316322.34375,294509.375,279520.75,283071.90625,-0.129638671875,0.9482421875,-0.235595703125,0.6408690810203552,-0.4882812201976776,-0.8239745497703552,53.33333587646485,53762.0,1.0,Rest
300026.40625,313929.46875,522689.03125,514760.15625,315990.46875,294357.75,279359.90625,282754.59375,-0.12744140625,0.947998046875,-0.2373046875,0.5187987685203552,-0.4882812201976776,-0.7019042372703552,53.33333587646485,53763.0,1.0,Rest
299893.375,313522.03125,522316.75,514461.0,315508.9375,294190.53125,279200.84375,282389.625,-0.12890625,0.94873046875,-0.236083984375,0.5187987685203552,-0.4272460639476776,-0.5187987685203552,53.33333587646485,53764.0,1.0,Rest
300100.71875,313680.90625,522552.34375,514808.71875,315593.40625,294262.53125,279291.3125,282525.71875,-0.126220703125,0.9482421875,-0.234375,0.3662109076976776,-0.3967284858226776,-0.2136230319738388,53.33333587646485,53765.0,1.0,Rest
300340.5,314178.1875,523039.34375,515279.34375,316115.0,294468.875,279498.375,282957.8125,-0.1279296875,0.94580078125,-0.23681640625,0.2441406100988388,-0.3967284858226776,-0.0915527269244194,53.33333587646485,53766.0,1.0,Rest
300282.03125,314307.65625,523099.34375,515224.53125,316332.53125,294513.21875,279528.59375,283075.5625,-0.129150390625,0.946533203125,-0.2373046875,0.1831054538488388,-0.5187987685203552,0.0,53.33333587646485,53767.0,1.0,Rest
300028.03125,313946.0,522688.875,514752.21875,315994.84375,294355.59375,279362.65625,282752.8125,-0.130859375,0.946533203125,-0.23583984375,0.1525878757238388,-0.5493163466453552,0.0305175762623548,53.33333587646485,53768.0,1.0,Rest
299887.375,313537.40625,522311.125,514451.625,315505.09375,294180.625,279198.15625,282383.71875,-0.129638671875,0.9453125,-0.235595703125,0.1220703050494194,-0.6103515028953552,0.0610351525247097,53.33333587646485,53769.0,1.0,Rest
300097.3125,313705.0625,522549.375,514803.96875,315593.78125,294256.78125,279291.6875,282524.09375,-0.131591796875,0.94580078125,-0.235107421875,0.1220703050494194,-0.6713866591453552,0.0915527269244194,53.33333587646485,53770.0,1.0,Rest
300324.21875,314177.125,523028.0625,515268.1875,316107.59375,294455.5625,279491.21875,282951.71875,-0.134033203125,0.944091796875,-0.235595703125,0.1220703050494194,-0.8239745497703552,0.1525878757238388,53.33333587646485,53771.0,1.0,Rest
300271.90625,314303.4375,523088.4375,515220.15625,316324.84375,294499.71875,279522.71875,283074.5,-0.133544921875,0.944091796875,-0.23388671875,0.0,-0.8850097060203552,0.0610351525247097,53.33333587646485,53772.0,1.0,Rest
300024.1875,313947.96875,522679.375,514748.625,315992.15625,294341.46875,279357.125,282755.46875,-0.132568359375,0.943359375,-0.23486328125,-0.0610351525247097,-0.9460448622703552,0.0610351525247097,53.33333587646485,53773.0,1.0,Rest
299892.5625,313548.125,522306.03125,514450.71875,315512.15625,294173.1875,279199.78125,282394.8125,-0.132568359375,0.94287109375,-0.235595703125,-0.0915527269244194,-1.0375975370407104,-0.0610351525247097,53.33333587646485,53774.0,1.0,Rest
300098.90625,313707.46875,522542.59375,514800.84375,315601.375,294247.5,279292.65625,282537.34375,-0.1328125,0.942626953125,-0.2353515625,-0.1831054538488388,-1.2207030057907104,-0.0915527269244194,53.33333587646485,53775.0,1.0,Rest
300325.90625,314183.03125,523017.96875,515262.53125,316111.96875,294441.5,279490.15625,282963.0,-0.13134765625,0.94189453125,-0.235595703125,-0.1831054538488388,-1.1901854276657104,-0.2136230319738388,53.33333587646485,53776.0,1.0,Rest
300282.8125,314323.75,523085.21875,515217.5625,316337.28125,294493.8125,279528.25,283091.5625,-0.129150390625,0.942626953125,-0.23388671875,-0.2441406100988388,-1.1596678495407104,-0.3356933295726776,53.33333587646485,53777.0,1.0,Rest
300032.03125,313963.4375,522679.46875,514747.8125,316008.625,294342.625,279367.5,282776.40625,-0.128173828125,0.944580078125,-0.236328125,-0.2441406100988388,-1.2817381620407104,-0.5187987685203552,53.33333587646485,53778.0,1.0,Rest
299892.9375,313551.09375,522304.78125,514443.21875,315525.46875,294176.59375,279207.46875,282411.53125,-0.12890625,0.9462890625,-0.2373046875,-0.2441406100988388,-1.3732908964157104,-0.4882812201976776,53.33333587646485,53779.0,1.0,Rest
300100.25,313704.78125,522536.5,514791.1875,315605.75,294248.75,279295.25,282545.1875,-0.12841796875,0.9453125,-0.23828125,-0.2746581733226776,-1.3427733182907104,-0.4577636420726776,53.33333587646485,53780.0,1.0,Rest
300333.53125,314177.5625,523017.4375,515257.625,316122.34375,294450.09375,279497.3125,282971.84375,-0.12646484375,0.9453125,-0.238037109375,-0.3356933295726776,-1.3732908964157104,-0.6103515028953552,53.33333587646485,53781.0,1.0,Rest
300285.78125,314305.6875,523088.0625,515214.53125,316350.78125,294505.78125,279536.03125,283100.6875,-0.1240234375,0.94482421875,-0.23583984375,-0.2441406100988388,-1.3732908964157104,-0.6408690810203552,53.33333587646485,53782.0,1.0,Rest
300047.15625,313959.59375,522691.8125,514753.1875,316029.4375,294363.0,279380.28125,282791.5,-0.12451171875,0.94091796875,-0.236083984375,-0.2746581733226776,-1.3122557401657104,-0.6408690810203552,53.33333587646485,53783.0,1.0,Rest
299901.59375,313538.21875,522303.59375,514442.40625,315531.90625,294186.25,279210.21875,282413.78125,-0.125732421875,0.940185546875,-0.23583984375,-0.2136230319738388,-1.2207030057907104,-0.7934569716453552,53.33333587646485,53784.0,1.0,Rest
300090.15625,313681.09375,522520.25,514771.96875,315600.9375,294245.8125,279286.5,282533.65625,-0.124755859375,0.94189453125,-0.23828125,-0.1831054538488388,-1.1596678495407104,-0.7934569716453552,53.33333587646485,53785.0,1.0,Rest
300326.375,314165.75,523005.0,515246.1875,316124.21875,294454.03125,279496.875,282968.28125,-0.123291015625,0.94140625,-0.237548828125,-0.0915527269244194,-1.1596678495407104,-0.7629393935203552,53.33333587646485,53786.0,1.0,Rest
300274.0625,314295.125,523069.125,515197.71875,316348.8125,294507.65625,279533.0,283094.96875,-0.125244140625,0.94287109375,-0.233642578125,-0.0915527269244194,-1.0681151151657104,-0.6408690810203552,53.33333587646485,53787.0,1.0,Rest
300023.28125,313926.78125,522659.71875,514723.9375,316015.5,294352.625,279365.34375,282774.25,-0.12646484375,0.943359375,-0.235107421875,-0.0610351525247097,-1.1291502714157104,-0.6103515028953552,53.33333587646485,53788.0,1.0,Rest
299884.96875,313512.75,522277.6875,514417.28125,315522.96875,294179.1875,279198.96875,282402.9375,-0.125732421875,0.94384765625,-0.236083984375,0.1525878757238388,-1.0986326932907104,-0.7019042372703552,53.33333587646485,53789.0,1.0,Rest
300093.90625,313676.625,522511.65625,514767.9375,315608.34375,294256.34375,279289.53125,282538.40625,-0.128173828125,0.943359375,-0.23583984375,0.0915527269244194,-1.1291502714157104,-0.6103515028953552,53.33333587646485,53790.0,1.0,Rest
300323.5,314157.4375,522991.0625,515233.9375,316121.0,294455.5625,279488.90625,282961.375,-0.130126953125,0.941650390625,-0.23486328125,0.1220703050494194,-1.0070799589157104,-0.6103515028953552,53.33333587646485,53791.0,1.0,Rest
300275.9375,314300.3125,523059.53125,515190.5625,316347.75,294508.75,279526.0,283087.1875,-0.130615234375,0.9423828125,-0.237548828125,0.0915527269244194,-1.1596678495407104,-0.6103515028953552,53.33333587646485,53792.0,1.0,Rest
300031.875,313959.40625,522659.1875,514728.78125,316027.5625,294363.375,279367.21875,282775.40625,-0.13232421875,0.943359375,-0.232666015625,0.0610351525247097,-1.1291502714157104,-0.6408690810203552,53.33333587646485,53793.0,1.0,Rest
299885.5,313542.0625,522272.0625,514414.96875,315529.125,294186.6875,279197.25,282396.59375,-0.13232421875,0.94580078125,-0.23388671875,0.1525878757238388,-1.1901854276657104,-0.6408690810203552,53.33333587646485,53794.0,1.0,Rest
300094.09375,313703.0,522505.5,514762.5,315609.5,294259.125,279287.375,282527.03125,-0.134033203125,0.94482421875,-0.233642578125,0.1525878757238388,-1.1596678495407104,-0.6408690810203552,53.33333587646485,53795.0,1.0,Rest
300325.65625,314186.0625,522985.96875,515229.375,316122.78125,294456.53125,279488.09375,282950.03125,-0.134033203125,0.9453125,-0.23681640625,0.1220703050494194,-1.1596678495407104,-0.6408690810203552,53.33333587646485,53796.0,1.0,Rest
300274.59375,314321.34375,523053.46875,515186.8125,316349.53125,294509.0,279524.125,283078.25,-0.1337890625,0.944580078125,-0.23779296875,0.0915527269244194,-1.1596678495407104,-0.7324218153953552,53.33333587646485,53797.0,1.0,Rest
300024.625,313963.625,522649.0,514719.3125,316019.34375,294356.9375,279360.25,282758.4375,-0.1357421875,0.94384765625,-0.2353515625,0.0915527269244194,-1.2512205839157104,-0.7019042372703552,53.33333587646485,53798.0,1.0,Rest
299885.875,313555.5625,522273.21875,514417.90625,315529.84375,294189.125,279199.21875,282389.1875,-0.13623046875,0.944580078125,-0.23486328125,0.0610351525247097,-1.3122557401657104,-0.6408690810203552,53.33333587646485,53799.0,1.0,Rest
300087.75,313708.4375,522499.0625,514761.59375,315604.59375,294258.84375,279285.15625,282516.3125,-0.13525390625,0.945068359375,-0.233154296875,0.0915527269244194,-1.4038084745407104,-0.5187987685203552,53.33333587646485,53800.0,1.0,Rest
300318.21875,314184.53125,522978.0,515229.8125,316116.1875,294459.46875,279486.84375,282943.0625,-0.133544921875,0.94482421875,-0.23388671875,0.0915527269244194,-1.4038084745407104,-0.6103515028953552,53.33333587646485,53801.0,1.0,Rest
300270.65625,314319.71875,523045.78125,515187.09375,316344.96875,294510.34375,279523.34375,283072.6875,-0.132080078125,0.947021484375,-0.23583984375,0.0305175762623548,-1.4038084745407104,-0.5493163466453552,53.33333587646485,53802.0,1.0,Rest
300025.0625,313965.84375,522642.90625,514719.40625,316019.78125,294360.25,279363.75,282758.625,-0.1328125,0.947021484375,-0.236328125,0.0610351525247097,-1.4648436307907104,-0.5493163466453552,53.33333587646485,53803.0,1.0,Rest
