EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
299849.90625,312491.71875,490211.59375,480660.6875,313442.625,293385.0625,279135.21875,282108.1875,-0.113037109375,0.95947265625,-0.16015625,-0.0305175762623548,-0.4272460639476776,0.3662109076976776,53.33333587646485,91393.0,1.0,Rest
300028.09375,312628.59375,490415.1875,480973.25,313504.5,293447.46875,279211.21875,282224.21875,-0.111572265625,0.9580078125,-0.159912109375,0.0305175762623548,-0.3967284858226776,0.2441406100988388,53.33333587646485,91394.0,1.0,Rest
300233.65625,313084.375,490866.5,481398.125,313997.15625,293637.46875,279398.53125,282636.3125,-0.111328125,0.9609375,-0.15869140625,0.1525878757238388,-0.4272460639476776,0.2136230319738388,53.33333587646485,91395.0,1.0,Rest
300201.71875,313228.34375,490945.1875,481361.90625,314228.625,293698.1875,279442.25,282772.46875,-0.109130859375,0.9599609375,-0.16015625,0.0915527269244194,-0.4882812201976776,0.1525878757238388,53.33333587646485,91396.0,1.0,Rest
299985.375,312888.6875,490570.9375,480934.1875,313918.90625,293558.625,279292.75,282471.4375,-0.107666015625,0.959228515625,-0.159423828125,0.0915527269244194,-0.3967284858226776,0.0610351525247097,53.33333587646485,91397.0,1.0,Rest
299856.625,312478.65625,490200.96875,480647.71875,313435.40625,293391.15625,279129.65625,282100.75,-0.109619140625,0.961669921875,-0.162109375,0.1831054538488388,-0.3662109076976776,0.0305175762623548,53.33333587646485,91398.0,1.0,Rest
300039.1875,312618.3125,490408.90625,480965.21875,313501.03125,293458.46875,279209.34375,282216.28125,-0.10888671875,0.962158203125,-0.161865234375,0.0610351525247097,-0.3356933295726776,0.0610351525247097,53.33333587646485,91399.0,1.0,Rest
300245.71875,313077.21875,490864.625,481394.0,313997.5,293652.40625,279398.4375,282630.84375,-0.1103515625,0.9619140625,-0.159423828125,0.0610351525247097,-0.3356933295726776,0.0305175762623548,53.33333587646485,91400.0,1.0,Rest
300201.46875,313208.21875,490939.625,481351.8125,314226.1875,293707.3125,279434.28125,282762.625,-0.110107421875,0.963623046875,-0.158447265625,0.0610351525247097,-0.2441406100988388,-0.0915527269244194,53.33333587646485,91401.0,1.0,Rest
299980.1875,312863.90625,490561.8125,480922.65625,313913.09375,293563.53125,279282.65625,282457.5,-0.109619140625,0.9638671875,-0.15869140625,-0.0305175762623548,-0.2441406100988388,-0.0610351525247097,53.33333587646485,91402.0,1.0,Rest
