EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
299738.34375,314402.15625,574362.0,567395.3125,317413.65625,294857.625,279143.71875,282889.3125,-0.141357421875,0.943603515625,-0.230224609375,0.0915527269244194,-0.9460448622703552,-0.1525878757238388,60.0,22849.0,1.0,Rest
299678.96875,314081.28125,574095.4375,567211.125,316999.0625,294728.59375,279025.59375,282604.65625,-0.141357421875,0.9423828125,-0.23193359375,0.0,-1.0070799589157104,-0.1831054538488388,60.0,22850.0,1.0,Rest
299953.09375,314381.15625,574466.5,567689.125,317242.4375,294853.0625,279167.125,282862.59375,-0.14013671875,0.940673828125,-0.23046875,-0.0610351525247097,-1.1596678495407104,-0.1525878757238388,60.0,22851.0,1.0,Rest
300146.46875,314840.25,574908.5,568103.25,317765.75,295043.84375,279355.15625,283275.5625,-0.14013671875,0.941162109375,-0.23193359375,-0.1220703050494194,-1.0375975370407104,-0.3051757514476776,60.0,22852.0,1.0,Rest
300029.34375,314857.25,574846.3125,567924.25,317866.9375,295043.84375,279340.3125,283295.0625,-0.138427734375,0.94091796875,-0.23193359375,-0.1220703050494194,-1.0986326932907104,-0.3356933295726776,60.0,22853.0,1.0,Rest
299758.28125,314419.84375,574368.625,567391.4375,317429.125,294864.3125,279151.3125,282909.8125,-0.140625,0.943115234375,-0.231689453125,-0.1525878757238388,-1.0681151151657104,-0.3967284858226776,60.0,22854.0,1.0,Rest
299682.625,314081.375,574082.875,567193.5,317003.53125,294729.3125,279022.28125,282612.4375,-0.138671875,0.942626953125,-0.234130859375,-0.0305175762623548,-1.0681151151657104,-0.3662109076976776,60.0,22855.0,1.0,Rest
299954.6875,314375.15625,574452.8125,567671.1875,317247.625,294858.5,279165.0625,282869.84375,-0.13671875,0.944580078125,-0.233642578125,-0.1220703050494194,-1.1596678495407104,-0.4577636420726776,60.0,22856.0,1.0,Rest
300151.40625,314837.125,574901.0,568090.5625,317775.03125,295055.46875,279359.4375,283288.15625,-0.135986328125,0.9423828125,-0.233642578125,-0.1525878757238388,-1.0681151151657104,-0.5187987685203552,60.0,22857.0,1.0,Rest
300024.25,314834.71875,574828.0,567904.5625,317865.34375,295050.09375,279336.75,283298.1875,-0.134765625,0.9423828125,-0.232177734375,-0.2441406100988388,-1.1291502714157104,-0.4272460639476776,60.0,22858.0,1.0,Rest
