title:اسدي كاف, start timestamp:1701685567.898888, stop timestamp:1701685578.650571, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678880,-0.286499,-0.674255,-0.049194,0.940544,-0.322305,-0.071786,-12.375419,-63.757797,80.634254
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678992,-0.286377,-0.674194,-0.049194,0.930778,-0.324258,-0.073739,-12.187877,-63.782017,80.670830
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678910,-0.286438,-0.674255,-0.049133,0.928824,-0.326212,-0.088878,-12.269089,-63.720482,80.587082
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678910,-0.286438,-0.674255,-0.049133,0.924918,-0.320840,-0.075693,-12.042180,-63.665100,80.545044
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678906,-0.286438,-0.674255,-0.049194,0.935173,-0.333048,-0.082530,-12.137962,-63.665257,80.557205
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679018,-0.286438,-0.674133,-0.049316,0.933219,-0.317910,-0.067879,-12.157499,-63.598732,80.501480
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679026,-0.286255,-0.674194,-0.049438,0.933219,-0.322305,-0.065926,-12.241749,-63.555523,80.634666
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679150,-0.286072,-0.674133,-0.049622,0.919546,-0.321328,-0.076670,-12.350907,-63.583305,80.537865
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679228,-0.286011,-0.674072,-0.049744,0.947870,-0.310096,-0.078135,-12.382483,-63.591640,80.467415
