title:اسدي كاف, start timestamp:1701685567.898888, stop timestamp:1701685578.650571, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1378      , version:2.2, 
MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
,,,,,,,,,,
0.000000,0.678958,-0.284668,-0.675049,-0.047852,0.934196,-0.311073,-0.068856,-12.353078,-63.246880,80.647186
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679023,-0.284668,-0.674988,-0.047791,0.936638,-0.312050,-0.067879,-12.451103,-63.272190,80.549133
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678979,-0.284607,-0.675049,-0.047913,0.940056,-0.316445,-0.073251,-12.505993,-63.394970,80.677551
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679035,-0.284607,-0.674988,-0.047974,0.931754,-0.312538,-0.073739,-12.422060,-63.338806,80.676468
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679005,-0.284668,-0.674988,-0.048035,0.929801,-0.324747,-0.063484,-12.463187,-63.304928,80.692154
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679019,-0.284790,-0.674927,-0.047974,0.939568,-0.334025,-0.074228,-12.416869,-63.357769,80.672935
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678997,-0.284668,-0.674988,-0.048157,0.935661,-0.328165,-0.071786,-12.441849,-63.255325,80.705643
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679062,-0.284668,-0.674927,-0.048096,0.939079,-0.320840,-0.071298,-12.414330,-63.413124,80.735077
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678970,-0.284607,-0.675049,-0.048035,0.925894,-0.327677,-0.077158,-12.239564,-63.371811,80.661568
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678961,-0.284485,-0.675110,-0.048035,0.945428,-0.320840,-0.074716,-12.165607,-63.301296,80.762077
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679108,-0.284424,-0.674988,-0.048035,0.939568,-0.320840,-0.066903,-12.149047,-63.354500,80.735870
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679269,-0.284607,-0.674744,-0.048096,0.930289,-0.322305,-0.061531,-12.150809,-63.302383,80.612282
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679214,-0.284729,-0.674744,-0.048157,0.936149,-0.320840,-0.053717,-12.019061,-63.172146,80.701057
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679131,-0.284668,-0.674866,-0.047974,0.941521,-0.310585,-0.073251,-12.083822,-63.221600,80.647621
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679024,-0.284241,-0.675171,-0.047729,0.929801,-0.328653,-0.065438,-12.142106,-63.349438,80.566193
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.679002,-0.284180,-0.675232,-0.047546,0.917592,-0.316445,-0.066903,-12.027896,-63.231163,80.642906
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678940,-0.283997,-0.675354,-0.047791,0.931754,-0.314492,-0.062508,-11.975106,-63.291378,80.628616
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678879,-0.283936,-0.675415,-0.048157,0.941521,-0.302283,-0.063484,-11.944263,-63.328907,80.632416
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678760,-0.283752,-0.675598,-0.048340,0.935173,-0.298865,-0.081065,-11.966502,-63.396015,80.469177
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678623,-0.283508,-0.675842,-0.048279,0.940544,-0.302771,-0.074228,-12.003185,-63.406414,80.588928
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678544,-0.283447,-0.675964,-0.048035,0.947381,-0.312538,-0.065926,-12.002867,-63.365772,80.613365
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678481,-0.283630,-0.675964,-0.047852,0.923941,-0.317910,-0.073739,-12.002581,-63.495861,80.518700
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678410,-0.283936,-0.675903,-0.047913,0.933708,-0.309120,-0.072763,-12.218989,-63.496277,80.600159
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678359,-0.284058,-0.675903,-0.047913,0.925406,-0.312538,-0.073739,-12.097090,-63.613316,80.706810
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678316,-0.284180,-0.675903,-0.047791,0.949335,-0.322793,-0.071298,-12.104048,-63.401985,80.652794
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678320,-0.284180,-0.675903,-0.047729,0.929313,-0.321817,-0.073739,-12.193643,-63.511787,80.487518
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678299,-0.284241,-0.675903,-0.047668,0.924918,-0.336467,-0.071786,-12.124279,-63.510609,80.522095
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678307,-0.284180,-0.675903,-0.047913,0.934684,-0.334025,-0.076181,-12.311851,-63.476212,80.453224
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678334,-0.284241,-0.675842,-0.048035,0.931754,-0.318887,-0.076181,-12.297333,-63.445259,80.357903
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678299,-0.284180,-0.675903,-0.048035,0.924918,-0.322305,-0.074716,-12.484266,-63.450733,80.488777
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678364,-0.284180,-0.675842,-0.047974,0.939079,-0.323770,-0.070809,-12.335839,-63.405659,80.406563
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678364,-0.284180,-0.675842,-0.047974,0.934684,-0.325235,-0.072763,-12.402255,-63.348427,80.515907
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678420,-0.284180,-0.675781,-0.048035,0.937126,-0.328653,-0.071786,-12.428697,-63.330250,80.480988
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678494,-0.284119,-0.675720,-0.048218,0.937614,-0.319375,-0.065926,-12.585827,-63.447227,80.332886
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678529,-0.284180,-0.675659,-0.048218,0.927848,-0.322793,-0.072763,-12.660578,-63.452503,80.299599
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678452,-0.284363,-0.675659,-0.048218,0.927359,-0.329142,-0.062996,-12.661186,-63.557251,80.336304
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678405,-0.284485,-0.675659,-0.048157,0.931266,-0.306678,-0.069344,-12.728401,-63.501526,80.302673
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678401,-0.284485,-0.675659,-0.048218,0.937126,-0.320352,-0.075204,-12.738894,-63.334709,80.522408
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678361,-0.284302,-0.675781,-0.048157,0.941033,-0.316445,-0.076670,-12.831672,-63.384571,80.386833
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678377,-0.284119,-0.675842,-0.048157,0.920523,-0.330607,-0.062508,-12.898504,-63.162781,80.531487
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678498,-0.284119,-0.675720,-0.048157,0.941521,-0.320352,-0.061531,-12.908654,-62.879837,80.578331
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678475,-0.284485,-0.675598,-0.048035,0.927848,-0.327677,-0.072763,-12.851122,-62.858521,80.603836
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.678373,-0.284851,-0.675537,-0.048157,0.924429,-0.324258,-0.076670,-12.832676,-62.889332,80.643448
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
