title:شويكي عطش, start timestamp:1703500995.476847, stop timestamp:1703501006.400310, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1400      , version:2.2, 
MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
0.000000,0.661267,0.218018,-0.656372,0.290466,0.986937,-0.101087,0.040532,-13.649814,-35.130344,60.713242
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661569,0.218079,-0.656128,0.290283,0.983518,-0.103040,0.051764,-13.501499,-35.083977,60.758583
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661716,0.218140,-0.656067,0.290039,0.986937,-0.099622,0.057624,-13.584682,-35.175579,60.849392
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661723,0.218201,-0.656067,0.289978,0.993774,-0.096203,0.046881,-13.559547,-35.191353,61.064453
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661602,0.218384,-0.656128,0.289978,0.988402,-0.098157,0.048834,-13.570260,-35.122219,61.091339
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661353,0.218689,-0.656250,0.290039,0.986449,-0.101087,0.047857,-13.429900,-35.076664,61.182205
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661266,0.218689,-0.656311,0.290100,0.980588,-0.098645,0.042486,-13.436911,-35.002331,61.063984
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661393,0.218811,-0.656250,0.289856,0.984984,-0.090343,0.040532,-13.526552,-35.135429,61.074253
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.661628,0.218689,-0.656189,0.289551,0.993774,-0.101575,0.047369,-13.590564,-35.038555,61.233494
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
