title:شويكي عطش, start timestamp:1703500995.476847, stop timestamp:1703501006.400310, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1400      , version:2.2, 
,,,,,,,,,,
0.000000,0.659939,0.209351,-0.659058,0.293762,0.991820,-0.101575,0.047857,-13.370136,-35.612984,61.356590
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.660041,0.209412,-0.658936,0.293762,0.975217,-0.107923,0.039067,-13.299789,-35.401684,61.254265
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.660282,0.209229,-0.658752,0.293762,0.978147,-0.108412,0.049811,-13.369810,-35.378181,61.295506
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.660306,0.209045,-0.658813,0.293701,0.984007,-0.102552,0.045904,-13.382830,-35.390366,61.249287
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.660284,0.208923,-0.658875,0.293701,0.984495,-0.106458,0.045416,-13.277880,-35.167995,61.341026
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.660238,0.208984,-0.658875,0.293762,0.981565,-0.102063,0.037114,-13.150092,-35.234528,61.340256
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.660125,0.209167,-0.658875,0.293884,0.987914,-0.119155,0.040044,-13.168416,-35.244408,61.422897
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659849,0.209290,-0.659058,0.294006,0.977170,-0.117202,0.045904,-13.368241,-35.319969,61.447273
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659849,0.209290,-0.659058,0.294006,0.978147,-0.112318,0.041997,-13.264750,-35.071304,61.319214
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659919,0.209412,-0.659058,0.293762,0.992309,-0.109877,0.050787,-13.171609,-35.064175,61.203960
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659957,0.209656,-0.658997,0.293640,0.990844,-0.107435,0.036626,-13.187781,-35.224422,61.100231
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659904,0.209717,-0.659058,0.293579,0.989867,-0.111830,0.048346,-13.169003,-35.335316,61.273540
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659877,0.209717,-0.659058,0.293640,0.979123,-0.111830,0.047857,-13.218769,-35.335117,61.196186
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.000000,0.659563,0.209595,-0.659302,0.293884,0.979123,-0.124039,0.036137,-13.180225,-35.418270,61.343235
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
